A2,A5,A8,A11,A13,A16,A18,result,A1=1,A1=2,A1=3,A1=4,A3=0,A3=1,A3=2,A3=3,A3=4,A4=0,A4=1,A4=2,A4=3,A4=4,A4=5,A4=6,A4=8,A4=9,A4=10,A6=1,A6=2,A6=3,A6=4,A6=5,A7=1,A7=2,A7=3,A7=4,A7=5,A9=1,A9=2,A9=3,A9=4,A10=1,A10=2,A10=3,A12=1,A12=2,A12=3,A12=4,A14=1,A14=2,A14=3,A15=1,A15=2,A15=3,A17=1,A17=2,A17=3,A17=4,A19=1,A19=2,A20=1,A20=2
-1.1941134286748751,-0.7392789263699817,0.9148004720245023,1.0697196746267743,1,1.0615880894040302,-0.4177279548884681,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
2.2286159076848135,1.0166325821538271,-0.8664521856031795,-0.725972824746708,0,-0.6869099402026075,-0.4177279548884681,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
-0.7051520949092054,-0.3988920655582772,-0.8664521856031795,0.1718734249400332,1,-0.6869099402026075,2.39390251070699,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
1.7396545739191438,1.7256800775447672,-0.8664521856031795,1.0697196746267743,1,-0.6869099402026075,2.39390251070699,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
0.2727705726221343,0.6196981738070607,0.02417414321066139,1.0697196746267743,1,1.0615880894040302,2.39390251070699,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
1.250693240153474,2.1563961376657264,-0.8664521856031795,1.0697196746267743,0,-0.6869099402026075,2.39390251070699,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
0.2727705726221343,-0.12753727576340168,0.02417414321066139,1.0697196746267743,1,-0.6869099402026075,-0.4177279548884681,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
1.250693240153474,1.382722873663287,-0.8664521856031795,-0.725972824746708,0,-0.6869099402026075,-0.4177279548884681,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
-0.7051520949092054,-0.045286297530584205,-0.8664521856031795,1.0697196746267743,1,-0.6869099402026075,-0.4177279548884681,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
0.7617319063878041,0.753356013435389,0.9148004720245023,-0.725972824746708,0,1.0615880894040302,-0.4177279548884681,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
-0.7051520949092054,-0.6930127511140218,0.02417414321066139,-1.623819074433449,0,-0.6869099402026075,-0.4177279548884681,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
2.2286159076848135,0.41333634449079537,0.02417414321066139,1.0697196746267743,0,-0.6869099402026075,-0.4177279548884681,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
-0.7051520949092054,-0.5931365632598863,-1.7570785144170205,-1.623819074433449,0,-0.6869099402026075,-0.4177279548884681,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
